,drink_name,category,instructions,picture,taste,ingredients1,quantity1,ingredients2,quantity2,ingredients3,quantity3,ingredients4,quantity4,ingredients5,quantity5,ingredients6,quantity6,ingredients7,quantity7,ingredients8,quantity8,ingredients9,quantity9,ingredients10,quantity10,ingredients11,quantity11,ingredients12,quantity12
57,Absolut Summertime,"cocktail, other,unknown",Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,sour,absolut citron,1 1/2 oz,sweet and sour,3/4 oz,sprite,1/2 oz,soda water,3 oz,lemon,1 slice,,,,,,,,,,,,,,
58,Absolutely Cranberry Smash,"ordinary drink, cocktail",Stir ingredients together. Serve over ice.,http://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,,absolut vodka,2 oz,cranberry juice,4 oz,ginger ale,2 oz,ice,add,,,,,,,,,,,,,,,,
59,Absolutely Fabulous,"cocktail, cocktail",Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,sweet,vodka,1 shot,cranberry juice,2 shots,champagne,top up with,,,,,,,,,,,,,,,,,,
60,Absolutly Screwed Up,"cocktail, ordinary drink","Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,mint,absolut citron,1 shot,orange juice,1 shot,triple sec,1 shot,ginger ale,fill to top,,,,,,,,,,,,,,,,
61,Acapulco,"ordinary drink, cocktail",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,cream,light rum,1 1/2 oz,triple sec,1 1/2 tsp,lime juice,1 tblsp,sugar,1 tsp,egg white,1,mint,1,,,,,,,,,,,,
62,Ace,"cocktail, ordinary drink",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,sour,gin,2 shots,grenadine,1/2 shot,heavy cream,1/2 shot,milk,1/2 shot,egg white,1/2 fresh,,,,,,,,,,,,,,
63,ACID,"shot, ordinary drink",Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,water,151 proof rum,1 oz bacardi,wild turkey,1 oz,,,,,,,,,,,,,,,,,,,,
64,Across The Pond,,"Combine all ingredients except soda in a shaker with ice, shake to combine. Pour over ice in a rocks glass and top with soda. Garnish with a Luxardo cherry.. ",,,junipero gin,1 oz,king's ginger liqueur,1 oz,round pond meyer lemon syrup,.5 oz,fresh lemon juice,.75 oz,soda water,1 splash,,,,,,,,,,,,,,
65,Adam,"ordinary drink, cocktail","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,sour,dark rum,2 oz,lemon juice,1 oz,grenadine,1 tsp,,,,,,,,,,,,,,,,,,
66,Adam & Eve,"cocktail, punch , party drink",Shake together all the ingredients and strain into a cold glass.,http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,,gin,1 shot,cognac,1 shot,creme de cassis,1 shot,fresh lemon juice,1/8 shot,,,,,,,,,,,,,,,,
67,Adam Bomb,"punch , party drink, ordinary drink","Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,water,rum,1 part,vodka,1 part,tequila,1 part,triple sec,1/2 part,fruit,,ice,,salt,1-3 pint,fruit juice,,,,,,,,,
68,Adam Sunrise,"ordinary drink, cocktail","Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,,vodka,2-jan,lemonade,1/2 can,water,2-jan,sugar,10 tsp,,,,,,,,,,,,,,,,
69,Addington,"cocktail, cocktail",Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,,sweet vermouth,2 shots,dry vermouth,1 shot,soda water,top up with,,,,,,,,,,,,,,,,,,
70,Addison,"cocktail, cocktail",Shake together all the ingredients and strain into a cold glass.,http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,sweet,gin,1 1/2 shot,vermouth,1 1/2 shot,,,,,,,,,,,,,,,,,,,,
71,Addison Special,"cocktail, cocktail",Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,,vodka,1 shot,grenadine,1 tblsp,orange juice,fill with,,,,,,,,,,,,,,,,,,
72,Adios Amigos Cocktail,"cocktail, ordinary drink",Shake together all the ingredients and strain into a cold glass.,http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,,rum,1 shot,dry vermouth,1/2 shot,cognac,1/2 shot,gin,1/2 shot,fresh lime juice,1/4 shot,sugar syrup,1/4 shot,water,1/2 shot,,,,,,,,,,
73,Adonis Cocktail,"ordinary drink, ordinary drink","Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,sweet,sweet vermouth,3/4 oz,sherry,1 1/2 oz dry,orange bitters,1 dash,,,,,,,,,,,,,,,,,,
74,Adriatique,,1. Add ingredients to cocktail shaker. 2. Fill shaker with ice and mix ingredients. 3. Strain cocktail into a chilled glass.,,fresh,amaro montenegro,3 cl,orange juice,3 cl,aperol,1.5 cl,,,,,,,,,,,,,,,,,,
